imdb_id,movie_id,title,genres,production_countries,release_year
tt0113492,69,A Stoning in Fulham County,"['thriller', 'crime', 'drama']",['US'],1988
tt0113540,70,The Ryan White Story,['drama'],['US'],1989
tt0113677,71,Dil,"['drama', 'comedy', 'romance']",['IN'],1990
tt0113749,72,Adam: His Song Continues,"['crime', 'drama']",['US'],1986
tt0113820,73,The George McKenna Story,['drama'],['US'],1988
tt0110604,74,In Defense of a Married Man,"['drama', 'crime']",['US'],1990
tt0113957,75,Mujrim,"['drama', 'action', 'crime']",['IN'],1989
tt0114095,76,Aakhri Adaalat,"['action', 'crime', 'thriller']",['IN'],1988
tt0114194,77,"Alexandria, Again and Forever",['drama'],"['FR', 'EG']",1989
tt0114345,78,Duniya,"['action', 'drama']",['IN'],1984
tt0114436,79,Strange Voices,['drama'],['US'],1987
tt0114478,80,Jaal,"['action', 'drama', 'thriller']",['IN'],1986
tt0114508,81,Quiet Victory: The Charlie Wedemeyer Story,['drama'],['US'],1988
tt0114558,82,High Risk,['comedy'],['US'],1988
tt0114666,83,Muqaddar Ka Faisla,"['action', 'comedy', 'drama', 'family']",['IN'],1987
tt0114781,84,Pyar Ke Do Pal,"['drama', 'action']",['IN'],1986
tt0114887,85,Sohni Mahiwal,"['romance', 'drama', 'action']",['IN'],1984
tt0114898,86,Ek Jaan Hain Hum,"['family', 'romance']",['IN'],1983
tt0111579,87,An Egyptian Story,"['drama', 'fantasy']",['EG'],1982
tt0112471,88,The Little Wars,"['war', 'drama', 'european']","['FR', 'LB']",1982
tt0112508,89,Unspeakable Acts,['drama'],['US'],1990
tt0112571,90,Survivor,['reality'],['US'],2000
tt0109445,91,Mission: Impossible,"['thriller', 'action']",['US'],1996
tt0112883,92,Stargate SG-1,"['scifi', 'drama', 'action']","['CA', 'US']",1997
tt0109635,93,Se7en,"['crime', 'thriller', 'drama']",['US'],1995
tt0109686,94,Pokémon,"['action', 'scifi', 'animation', 'comedy', 'fantasy', 'family']",['JP'],1997
tt0109707,95,Boogie Nights,['drama'],['US'],1997
tt0113303,96,Forrest Gump,"['drama', 'romance']",['US'],1994
tt0110057,97,Snatch,"['crime', 'comedy']","['US', 'GB']",2000
tt0110005,98,The Talented Mr. Ripley,"['thriller', 'drama', 'crime']",['US'],1999
tt0110066,99,One Piece,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],1999
tt0110148,100,The Challenge,"['reality', 'comedy', 'drama', 'scifi']",['US'],1998
tt0113463,101,Titanic,"['drama', 'romance']",['US'],1997
tt0110216,102,Cowboy Bebop,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",['JP'],1998
tt0076759,103,Starship Troopers,"['scifi', 'action', 'thriller']",['US'],1997
tt0103994,104,Mission: Impossible II,"['thriller', 'action']",['US'],2000
tt0110322,105,Dumb and Dumber,['comedy'],['US'],1994
tt0113691,106,Neon Genesis Evangelion,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",['JP'],1995
tt0109836,107,Gattaca,"['scifi', 'thriller', 'romance', 'drama']",['US'],1997
tt0113808,108,Léon: The Professional,"['crime', 'drama', 'action', 'thriller', 'european']","['US', 'FR']",1994
tt0110638,109,Gilmore Girls,"['comedy', 'drama']",['US'],2000
tt0110632,110,Natural Born Killers,"['thriller', 'drama', 'crime', 'action']",['US'],1994
tt0114069,111,The Quick and the Dead,"['action', 'thriller', 'western', 'romance']","['JP', 'US']",1995
tt0110413,112,You've Got Mail,"['comedy', 'romance', 'drama']",['US'],1998
tt0114113,113,Power Rangers,"['action', 'scifi', 'fantasy', 'family']",['US'],1993
tt0110912,114,Big Daddy,"['drama', 'comedy', 'european']",['US'],1999
tt0105652,115,Vampires,"['fantasy', 'action', 'horror', 'thriller']",['US'],1998
tt0114214,116,Yu-Gi-Oh!,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],1998
tt0114296,117,Donnie Brasco,"['drama', 'thriller', 'crime']",['US'],1997
tt0110907,118,The Magic School Bus,"['animation', 'scifi', 'comedy', 'family', 'fantasy']","['CA', 'US']",1994
tt0111333,119,Goosebumps,"['scifi', 'thriller', 'family', 'fantasy', 'horror', 'music']","['US', 'CA']",1995
tt0111255,120,InuYasha,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",['JP'],2000
tt0111282,121,A River Runs Through It,['drama'],['US'],1992
tt0111070,122,"Girl, Interrupted","['drama', 'european']","['DE', 'US']",1999
tt0111161,123,Last Action Hero,"['action', 'fantasy', 'comedy', 'family']",['US'],1993
tt0114614,124,All That,"['comedy', 'family', 'music']",['US'],1994
tt0111280,125,My Girl,"['drama', 'family', 'romance', 'comedy', 'european']",['US'],1991
tt0114609,126,Wyatt Earp,"['western', 'crime', 'action', 'drama']",['US'],1994
tt0108550,127,Eraser,"['thriller', 'action', 'drama', 'crime']","['US', 'CA']",1996
tt0114857,128,Neon Genesis Evangelion: The End of Evangelion,"['action', 'drama', 'animation', 'scifi', 'fantasy']",['JP'],1997
tt0114924,129,Vegas Vacation,['comedy'],['US'],1997
tt0110598,130,In the Line of Fire,"['drama', 'thriller', 'crime', 'action']",['US'],1993
tt0109040,131,Little Women,"['drama', 'romance', 'family']",['US'],1994
tt0104779,132,U.S. Marshals,"['thriller', 'crime', 'action']",['US'],1998
tt0109444,133,Barney & Friends,"['comedy', 'family']",['US'],1992
tt0109446,134,Anaconda,"['horror', 'thriller', 'action']","['PE', 'US', 'BR']",1997
tt0109506,135,Kenan & Kel,"['family', 'comedy']",['US'],1996
tt0109813,136,The Replacements,"['comedy', 'sport']",['US'],2000
tt0109830,137,Seven Years in Tibet,"['action', 'drama', 'history', 'war']",['US'],1997
tt0109831,138,The Net,"['thriller', 'action', 'crime', 'drama']",['US'],1995
tt0110093,139,Cliffhanger,"['action', 'thriller', 'comedy', 'animation']","['IT', 'US', 'FR']",1993
tt0110357,140,Menace II Society,"['drama', 'crime', 'thriller']",['US'],1993
tt0107426,141,Johnny Mnemonic,"['action', 'drama', 'scifi', 'thriller']","['CA', 'US']",1995
tt0111686,142,3 Ninjas Kick Back,"['comedy', 'family', 'action', 'sport']","['JP', 'US']",1994
tt0110475,143,Edge of Seventeen,"['romance', 'drama', 'comedy']",['US'],1998
tt0110622,144,The Devil's Own,"['crime', 'thriller', 'drama', 'action', 'european']",['US'],1997
tt0110950,145,Cardcaptor Sakura,"['scifi', 'animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']",['JP'],1998
tt0105226,146,Spawn,"['scifi', 'action', 'drama', 'horror']",['US'],1997
tt0111257,147,Adventures of Sonic the Hedgehog,"['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy', 'western']",['US'],1993
tt0111438,148,Croupier,"['drama', 'european', 'crime']","['IE', 'GB', 'DE', 'FR']",1998
tt0111503,149,Girlfriends,"['drama', 'comedy']",['US'],2000
tt0111756,150,The Next Karate Kid,"['action', 'drama', 'family', 'sport', 'romance']",['US'],1994
tt0110399,151,Geronimo: An American Legend,"['western', 'history', 'drama']",['US'],1993
tt0110186,152,Double Team,"['action', 'scifi', 'comedy', 'thriller']","['HK', 'US']",1997
tt0111301,153,Heavy,"['drama', 'romance']",['US'],1995
tt0110027,154,The Players Club,"['comedy', 'drama']",['US'],1998
